 Конечные остановки , № марш. ,url
Центр - Дом печати,1,https://igis-transport.ru/izh/trolleybus/1?
Улица Молодёжная - Адм.Индустр.района / Дом печати,2,https://igis-transport.ru/izh/trolleybus/2?
Автозавод - Завод «Нефтемаш» / ул. Молодежная,4,https://igis-transport.ru/izh/trolleybus/4?
Городок металлургов - Завод «Нефтемаш» / Улица Труда,6,https://igis-transport.ru/izh/trolleybus/6?
Центр - Улица Труда,7,https://igis-transport.ru/izh/trolleybus/7?
Посёлок Машиностроителей - Городок металлургов,9,https://igis-transport.ru/izh/trolleybus/9?
Посёлок Машиностроителей - Улица Ворошилова,10,https://igis-transport.ru/izh/trolleybus/10?
Улица Кузебая Герда - Улица Труда,14,https://igis-transport.ru/izh/trolleybus/14?
